"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 2021  To:  Dec 31, 2022"				
Ranking by Gender & Year	First Name	Frequency	Gender	Year
2059	Lionel 	1	Boy	2021
2059	Lisi	1	Boy	2021
2059	Livio 	1	Boy	2021
2059	Livnoor	1	Boy	2021
2059	Llyor	1	Boy	2021
2059	Loai 	1	Boy	2021
2059	Lochlen 	1	Boy	2021
2059	Lochlin 	1	Boy	2021
2059	Lochlon 	1	Boy	2021
2059	Lochlyn 	1	Boy	2021
2059	Lochlynn 	1	Boy	2021
2059	Locke 	1	Boy	2021
2059	Locklan 	1	Boy	2021
2059	Locksley 	1	Boy	2021
2059	Loegan 	1	Boy	2021
2059	Loeto 	1	Boy	2021
2059	Loewen 	1	Boy	2021
2059	Loften 	1	Boy	2021
2059	Loic 	1	Boy	2021
2059	Loïk 	1	Boy	2021
2059	Lokan 	1	Boy	2021
2059	London 	1	Boy	2021
2059	Lonzo 	1	Boy	2021
2059	Lorence 	1	Boy	2021
2059	Lorennzo 	1	Boy	2021
2059	Lorne 	1	Boy	2021
2059	Louay	1	Boy	2021
2059	Loumiryn 	1	Boy	2021
2059	Lounix 	1	Boy	2021
2059	Loveraaj 	1	Boy	2021
2059	Loxley 	1	Boy	2021
2059	Loxtyn 	1	Boy	2021
2059	Loya 	1	Boy	2021
2059	Loyal 	1	Boy	2021
2059	Loyoon	1	Boy	2021
2059	Lual 	1	Boy	2021
2059	Lubin 	1	Boy	2021
2059	Lucas-Kai 	1	Boy	2021
2059	Lucían 	1	Boy	2021
2059	Lucio 	1	Boy	2021
2059	Lucus 	1	Boy	2021
2059	Lueth 	1	Boy	2021
2059	Luiz 	1	Boy	2021
2059	Luken 	1	Boy	2021
2059	Lukka 	1	Boy	2021
2059	Lumuno 	1	Boy	2021
2059	Lupe 	1	Boy	2021
2059	Lupin 	1	Boy	2021
2059	Luuk 	1	Boy	2021
2059	Luxton 	1	Boy	2021
2059	Lyall 	1	Boy	2021
2059	Lydia	1	Boy	2021
2059	Lyko 	1	Boy	2021
2059	Lync 	1	Boy	2021
2059	Lynden 	1	Boy	2021
2059	Lynkon 	1	Boy	2021
2059	Lynxden 	1	Boy	2021
2059	Lyon 	1	Boy	2021
2059	Lyonn 	1	Boy	2021
2059	Lyran 	1	Boy	2021
2059	Lyrics	1	Boy	2021
2059	Lyrik 	1	Boy	2021
2059	M 	1	Boy	2021
2059	M. 	1	Boy	2021
2059	Ma'Kyler 	1	Boy	2021
2059	Maahi 	1	Boy	2021
2059	Maanvik	1	Boy	2021
2059	Mabek 	1	Boy	2021
2059	Macaulay 	1	Boy	2021
2059	Macauy 	1	Boy	2021
2059	Mackennon 	1	Boy	2021
2059	Maclean 	1	Boy	2021
2059	Macrae 	1	Boy	2021
2059	Macsen 	1	Boy	2021
2059	Maddicus 	1	Boy	2021
2059	Madochee	1	Boy	2021
2059	Madox 	1	Boy	2021
2059	Mads 	1	Boy	2021
2059	Mael 	1	Boy	2021
2059	Mahaad 	1	Boy	2021
2059	Mahaan 	1	Boy	2021
2059	Mahad 	1	Boy	2021
2059	Mahamat	1	Boy	2021
2059	Mahammed 	1	Boy	2021
2059	Maharshi 	1	Boy	2021
2059	Mahde	1	Boy	2021
2059	Maheem 	1	Boy	2021
2059	Mahil 	1	Boy	2021
2059	Mahizhan	1	Boy	2021
2059	Mahmood 	1	Boy	2021
2059	Mahthyus 	1	Boy	2021
2059	Maiyar	1	Boy	2021
2059	Maiz 	1	Boy	2021
2059	Majeed	1	Boy	2021
2059	Majestic 	1	Boy	2021
2059	Major 	1	Boy	2021
2059	Makie	1	Boy	2021
2059	Makisig	1	Boy	2021
2059	Makkoy 	1	Boy	2021
2059	Makoa 	1	Boy	2021
2059	Maksen 	1	Boy	2021
2059	Malachi-Ezra	1	Boy	2021
2059	Malachy 	1	Boy	2021
2059	Malaki 	1	Boy	2021
2059	Malcom 	1	Boy	2021
2059	Malësor	1	Boy	2021
2059	Malick 	1	Boy	2021
2059	Malikaijah 	1	Boy	2021
2059	Maliketh 	1	Boy	2021
2059	Malique 	1	Boy	2021
2059	Malual 	1	Boy	2021
2059	Malyk	1	Boy	2021
2059	Mamadi 	1	Boy	2021
2059	Mamadou 	1	Boy	2021
2059	Manaal 	1	Boy	2021
2059	Mandella 	1	Boy	2021
2059	Manjit	1	Boy	2021
2059	Mankerat 	1	Boy	2021
2059	Mankirat 	1	Boy	2021
2059	Mankiret 	1	Boy	2021
2059	Manna-Lee	1	Boy	2021
2059	Mannan 	1	Boy	2021
2059	Manning 	1	Boy	2021
2059	Manntej 	1	Boy	2021
2059	Manraaz 	1	Boy	2021
2059	Manroop 	1	Boy	2021
2059	Mansa 	1	Boy	2021
2059	Mansha	1	Boy	2021
2059	Mansukh 	1	Boy	2021
2059	Mansur 	1	Boy	2021
2059	Mantaj 	1	Boy	2021
2059	Manveer 	1	Boy	2021
2059	Mar 	1	Boy	2021
2059	Marcas 	1	Boy	2021
2059	Marcellin 	1	Boy	2021
2059	Marcello 	1	Boy	2021
2059	Marcelo 	1	Boy	2021
2059	Marcio 	1	Boy	2021
2059	Marcon	1	Boy	2021
2059	Marconal 	1	Boy	2021
2059	Marcus-David 	1	Boy	2021
2059	Marek	1	Boy	2021
2059	Mariau 	1	Boy	2021
2059	Marino 	1	Boy	2021
2059	Marisan 	1	Boy	2021
2059	Mariusz 	1	Boy	2021
2059	Markell 	1	Boy	2021
2059	Marken	1	Boy	2021
2059	Markon 	1	Boy	2021
2059	Markuz 	1	Boy	2021
2059	Markyan 	1	Boy	2021
2059	Marley	1	Boy	2021
2059	Marlin 	1	Boy	2021
2059	Marlo 	1	Boy	2021
2059	Marlon	1	Boy	2021
2059	Marquez 	1	Boy	2021
2059	Marquis 	1	Boy	2021
2059	Marrek 	1	Boy	2021
2059	Marsel	1	Boy	2021
2059	Marston 	1	Boy	2021
2059	Marthinus 	1	Boy	2021
2059	Martino 	1	Boy	2021
2059	Marvensky	1	Boy	2021
2059	Marwaan 	1	Boy	2021
2059	Maryann	1	Boy	2021
2059	Masen 	1	Boy	2021
2059	Mashfi	1	Boy	2021
2059	Masoud	1	Boy	2021
2059	Massi 	1	Boy	2021
2059	Massimo 	1	Boy	2021
2059	Masyn 	1	Boy	2021
2059	Mataeo 	1	Boy	2021
2059	Matan	1	Boy	2021
2059	Matania	1	Boy	2021
2059	Matei	1	Boy	2021
2059	Matein 	1	Boy	2021
2059	Mateo-Leo 	1	Boy	2021
2059	Mateoh 	1	Boy	2021
2059	Mateus 	1	Boy	2021
2059	Mathaios 	1	Boy	2021
2059	Mathan 	1	Boy	2021
2059	Mathews	1	Boy	2021
2059	Mathieu	1	Boy	2021
2059	Mathiewos 	1	Boy	2021
2059	Mathios	1	Boy	2021
2059	Matieas 	1	Boy	2021
2059	Matio 	1	Boy	2021
2059	Matios 	1	Boy	2021
2059	Matiyas 	1	Boy	2021
2059	Mats	1	Boy	2021
2059	Matt-Geoff	1	Boy	2021
2059	Mattana	1	Boy	2021
2059	Matthew-Thinh	1	Boy	2021
2059	Matthieu 	1	Boy	2021
2059	Mattia 	1	Boy	2021
2059	Mattieous 	1	Boy	2021
2059	Maui 	1	Boy	2021
2059	Maurizio 	1	Boy	2021
2059	Maven 	1	Boy	2021
2059	Maverik 	1	Boy	2021
2059	Maverix 	1	Boy	2021
2059	Maveryck 	1	Boy	2021
2059	Maveryk 	1	Boy	2021
2059	Mavi	1	Boy	2021
2059	Mavik 	1	Boy	2021
2059	Mavrick 	1	Boy	2021
2059	Mavrik 	1	Boy	2021
2059	Mawiir	1	Boy	2021
2059	Maxamillion 	1	Boy	2021
2059	Maxance	1	Boy	2021
2059	Maximilliano 	1	Boy	2021
2059	Maximo	1	Boy	2021
2059	Maxson 	1	Boy	2021
2059	Maxston 	1	Boy	2021
2059	Maxtyn 	1	Boy	2021
2059	Maxx 	1	Boy	2021
2059	Mayanvir	1	Boy	2021
2059	Mayas	1	Boy	2021
2059	Maycen 	1	Boy	2021
2059	Mayron 	1	Boy	2021
2059	Maz 	1	Boy	2021
2059	Mazzy	1	Boy	2021
2059	Mbakawa 	1	Boy	2021
2059	Mc 	1	Boy	2021
2059	Mccaffery 	1	Boy	2021
2059	Mccallum 	1	Boy	2021
2059	Mckeiden	1	Boy	2021
2059	Mckeinzie 	1	Boy	2021
2059	Mckinnon 	1	Boy	2021
2059	Mclean 	1	Boy	2021
2059	Mcleod 	1	Boy	2021
2059	Md 	1	Boy	2021
2059	Meako 	1	Boy	2021
2059	Mebbea	1	Boy	2021
2059	Meerab 	1	Boy	2021
2059	Meesto	1	Boy	2021
2059	Meharbaan 	1	Boy	2021
2059	Mehmed	1	Boy	2021
2059	Mehrad	1	Boy	2021
2059	Mehraj	1	Boy	2021
2059	Meiko 	1	Boy	2021
2059	Mekko 	1	Boy	2021
2059	Mekseb 	1	Boy	2021
2059	Melchizedek	1	Boy	2021
2059	Melik	1	Boy	2021
2059	Meliq	1	Boy	2021
2059	Meljohn 	1	Boy	2021
2059	Melkam 	1	Boy	2021
2059	Meller 	1	Boy	2021
2059	Melvin	1	Boy	2021
2059	Menlo 	1	Boy	2021
2059	Menno	1	Boy	2021
2059	Merak 	1	Boy	2021
2059	Mercer 	1	Boy	2021
2059	Merle 	1	Boy	2021
2059	Merrik 	1	Boy	2021
2059	Mervin 	1	Boy	2021
2059	Meshach 	1	Boy	2021
2059	Mesrop	1	Boy	2021
2059	Messi 	1	Boy	2021
2059	Messiah 	1	Boy	2021
2059	Messimba 	1	Boy	2021
2059	Mesuna 	1	Boy	2021
2059	Methusela	1	Boy	2021
2059	Meva 	1	Boy	2021
2059	Mhanna 	1	Boy	2021
2059	Micael	1	Boy	2021
2059	Micias 	1	Boy	2021
2059	Mick 	1	Boy	2021
2059	Micka 	1	Boy	2021
2059	Mickie 	1	Boy	2021
2059	Micko 	1	Boy	2021
2059	Mico-Anthony 	1	Boy	2021
2059	Midhat 	1	Boy	2021
2059	Mihai	1	Boy	2021
2059	Mihar	1	Boy	2021
2059	Miir 	1	Boy	2021
2059	Mika 	1	Boy	2021
2059	Mika'Il 	1	Boy	2021
2059	Mikayil 	1	Boy	2021
2059	Mikee 	1	Boy	2021
2059	Mikeyas	1	Boy	2021
2059	Mikhaeel 	1	Boy	2021
2059	Mikhael	1	Boy	2021
2059	Miki	1	Boy	2021
2059	Mikiya 	1	Boy	2021
2059	Mikko 	1	Boy	2021
2059	Mikkyhang 	1	Boy	2021
2059	Miko 	1	Boy	2021
2059	Mikwah 	1	Boy	2021
2059	Milaan	1	Boy	2021
2059	Milad	1	Boy	2021
2059	Milen 	1	Boy	2021
2059	Miles-Joseph	1	Boy	2021
2059	Miliano 	1	Boy	2021
2059	Milki 	1	Boy	2021
2059	Milkiyas	1	Boy	2021
2059	Milos	1	Boy	2021
2059	Milosz 	1	Boy	2021
2059	Mina 	1	Boy	2021
2059	Mingchen	1	Boy	2021
2059	Mingze	1	Boy	2021
2059	Minh 	1	Boy	2021
2059	Minjun 	1	Boy	2021
2059	Minoo	1	Boy	2021
2059	Miqdad 	1	Boy	2021
2059	Mirshad 	1	Boy	2021
2059	Mischa 	1	Boy	2021
2059	Mitansh	1	Boy	2021
2059	Mj 	1	Boy	2021
2059	Mluta 	1	Boy	2021
2059	Mo	1	Boy	2021
2059	Moayad 	1	Boy	2021
2059	Mobius 	1	Boy	2021
2059	Moby 	1	Boy	2021
2059	Modou 	1	Boy	2021
2059	Moez 	1	Boy	2021
2059	Mohamed-Amine	1	Boy	2021
2059	Mohammad-Rayyan 	1	Boy	2021
2059	Mohammadnoor 	1	Boy	2021
2059	Mohamud 	1	Boy	2021
2059	Mohummad	1	Boy	2021
2059	Mokshit	1	Boy	2021
2059	Monaco 	1	Boy	2021
2059	Monani	1	Boy	2021
2059	Moneo 	1	Boy	2021
2059	Monro 	1	Boy	2021
2059	Monroe	1	Boy	2021
2059	Montwedi 	1	Boy	2021
2059	Moosa	1	Boy	2021
2059	Moris 	1	Boy	2021
2059	Morley 	1	Boy	2021
2059	Morris 	1	Boy	2021
2059	Morrison 	1	Boy	2021
2059	Morya 	1	Boy	2021
2059	Mosi 	1	Boy	2021
2059	Mossiah	1	Boy	2021
2059	Moti 	1	Boy	2021
2059	Mouaz 	1	Boy	2021
2059	Mousa	1	Boy	2021
2059	Moustafa	1	Boy	2021
2059	Moyata	1	Boy	2021
2059	Moyoninuoluwa 	1	Boy	2021
2059	Mrazyk 	1	Boy	2021
2059	Muayid 	1	Boy	2021
2059	Mubashir	1	Boy	2021
2059	Mubeen	1	Boy	2021
2059	Mucad	1	Boy	2021
2059	Mudit 	1	Boy	2021
2059	Mufaddal	1	Boy	2021
2059	Muhab 	1	Boy	2021
2059	Muhamad	1	Boy	2021
2059	Muhammad-Ali	1	Boy	2021
2059	Muhaymin	1	Boy	2021
2059	Muhmmad 	1	Boy	2021
2059	Muhsin	1	Boy	2021
2059	Muizz 	1	Boy	2021
2059	Mulin	1	Boy	2021
2059	Munachimso 	1	Boy	2021
2059	Munachukwusoeje 	1	Boy	2021
2059	Munashe 	1	Boy	2021
2059	Muneer 	1	Boy	2021
2059	Munroe 	1	Boy	2021
2059	Murdock 	1	Boy	2021
2059	Murray 	1	Boy	2021
2059	Mursalin	1	Boy	2021
2059	Murtaza 	1	Boy	2021
2059	Mus'Ab 	1	Boy	2021
2059	Musaab 	1	Boy	2021
2059	Mustafe 	1	Boy	2021
2059	Mustaqeem	1	Boy	2021
2059	Muzaffer 	1	Boy	2021
2059	Muzamil	1	Boy	2021
2059	Myka 	1	Boy	2021
2059	Mylan 	1	Boy	2021
2059	Mythias 	1	Boy	2021
2059	Naaile 	1	Boy	2021
2059	Naayce 	1	Boy	2021
2059	Nabal	1	Boy	2021
2059	Nabeal 	1	Boy	2021
2059	Nabil 	1	Boy	2021
2059	Nabiullah	1	Boy	2021
2059	Naciah	1	Boy	2021
2059	Nadarveer 	1	Boy	2021
2059	Nadeem	1	Boy	2021
2059	Nadim	1	Boy	2021
2059	Naeb	1	Boy	2021
2059	Naeem	1	Boy	2021
2059	Nafees 	1	Boy	2021
2059	Nafi 	1	Boy	2021
2059	Nahier 	1	Boy	2021
2059	Nahil	1	Boy	2021
2059	Nahir 	1	Boy	2021
2059	Nahum 	1	Boy	2021
2059	Naik 	1	Boy	2021
2059	Naim 	1	Boy	2021
2059	Najaat 	1	Boy	2021
2059	Naji 	1	Boy	2021
2059	Najm 	1	Boy	2021
2059	Naman	1	Boy	2021
2059	Nami	1	Boy	2021
2059	Nandor 	1	Boy	2021
2059	Narado 	1	Boy	2021
2059	Naseeb 	1	Boy	2021
2059	Nashford 	1	Boy	2021
2059	Nashhon	1	Boy	2021
2059	Nashua 	1	Boy	2021
2059	Nashville 	1	Boy	2021
2059	Nasib	1	Boy	2021
2059	Nasrullah 	1	Boy	2021
2059	Natanium 	1	Boy	2021
2059	Natayo 	1	Boy	2021
2059	Nathanem 	1	Boy	2021
2059	Nathanielle 	1	Boy	2021
2059	Nathen 	1	Boy	2021
2059	Natious 	1	Boy	2021
2059	Natnaiel 	1	Boy	2021
2059	Natrin 	1	Boy	2021
2059	Naunihal 	1	Boy	2021
2059	Navaan 	1	Boy	2021
2059	Navab 	1	Boy	2021
2059	Navan 	1	Boy	2021
2059	Navdeep 	1	Boy	2021
2059	Naveed 	1	Boy	2021
2059	Navjass	1	Boy	2021
2059	Navnoor 	1	Boy	2021
2059	Navpartap 	1	Boy	2021
2059	Navrin 	1	Boy	2021
2059	Navsher 	1	Boy	2021
2059	Nawab 	1	Boy	2021
2059	Nayaab 	1	Boy	2021
2059	Naykh 	1	Boy	2021
2059	Nayson	1	Boy	2021
2059	Nayte 	1	Boy	2021
2059	Nazario	1	Boy	2021
2059	Nazeke 	1	Boy	2021
2059	Ndama 	1	Boy	2021
2059	Ndjoura 	1	Boy	2021
2059	Nebi 	1	Boy	2021
2059	Neeko 	1	Boy	2021
2059	Neelix 	1	Boy	2021
2059	Neer 	1	Boy	2021
2059	Nekolai 	1	Boy	2021
2059	Nemer	1	Boy	2021
2059	Nepth 	1	Boy	2021
2059	Nery 	1	Boy	2021
2059	Ness 	1	Boy	2021
2059	Nevo	1	Boy	2021
2059	New 	1	Boy	2021
2059	Nganji	1	Boy	2021
2059	Ngor 	1	Boy	2021
2059	Nhyiraba 	1	Boy	2021
2059	Niccolai 	1	Boy	2021
2059	Nick 	1	Boy	2021
2059	Nicklaus	1	Boy	2021
2059	Nicolaas 	1	Boy	2021
2059	Nicolás 	1	Boy	2021
2059	Nicolò 	1	Boy	2021
2059	Nicolyle 	1	Boy	2021
2059	Nigel 	1	Boy	2021
2059	Nightlen 	1	Boy	2021
2059	Niham 	1	Boy	2021
2059	Nihan	1	Boy	2021
2059	Nihemiah	1	Boy	2021
2059	Niilo 	1	Boy	2021
2059	Niiskun 	1	Boy	2021
2059	Nijel 	1	Boy	2021
2059	Nikaeyo 	1	Boy	2021
2059	Nikay	1	Boy	2021
2059	Nikko 	1	Boy	2021
2059	Niklous 	1	Boy	2021
2059	Nikolaj 	1	Boy	2021
2059	Nikos 	1	Boy	2021
2059	Nikosis 	1	Boy	2021
2059	Nikshith 	1	Boy	2021
2059	Nikunj	1	Boy	2021
2059	Niloh 	1	Boy	2021
2059	Nils 	1	Boy	2021
2059	Nimit 	1	Boy	2021
2059	Nimrod 	1	Boy	2021
2059	Ninagha 	1	Boy	2021
2059	Ninja 	1	Boy	2021
2059	Nirbaan 	1	Boy	2021
2059	Nirbhay 	1	Boy	2021
2059	Nirdhan	1	Boy	2021
2059	Nirvaanjeet	1	Boy	2021
2059	Nirvan	1	Boy	2021
2059	Nirvikar 	1	Boy	2021
2059	Nischal	1	Boy	2021
2059	Nishan 	1	Boy	2021
2059	Nishant	1	Boy	2021
2059	Nishil	1	Boy	2021
2059	Nivaaj 	1	Boy	2021
2059	Nivaaz 	1	Boy	2021
2059	Nivan 	1	Boy	2021
2059	Nivansh 	1	Boy	2021
2059	Niwaz 	1	Boy	2021
2059	Nixen 	1	Boy	2021
2059	Niyaz 	1	Boy	2021
2059	Nizar	1	Boy	2021
2059	Nkengbeza	1	Boy	2021
2059	Nkezea	1	Boy	2021
2059	Noah- 	1	Boy	2021
2059	Noam 	1	Boy	2021
2059	Nobel 	1	Boy	2021
2059	Noe	1	Boy	2021
2059	Noelan 	1	Boy	2021
2059	Noh 	1	Boy	2021
2059	Nohlan 	1	Boy	2021
2059	Nokoa 	1	Boy	2021
2059	Noland 	1	Boy	2021
2059	Nolawi	1	Boy	2021
2059	Nolyn 	1	Boy	2021
2059	None 	1	Boy	2021
2059	Noor	1	Boy	2021
2059	Noorvansh 	1	Boy	2021
2059	Norayz 	1	Boy	2021
2059	Norbert 	1	Boy	2021
2059	Noreh 	1	Boy	2021
2059	Norris 	1	Boy	2021
2059	Nos 	1	Boy	2021
2059	Nouman	1	Boy	2021
2059	Nouriyel 	1	Boy	2021
2059	Novah 	1	Boy	2021
2059	Novik 	1	Boy	2021
2059	Nox 	1	Boy	2021
2059	Nshuti 	1	Boy	2021
2059	Ntwali 	1	Boy	2021
2059	Nuaym	1	Boy	2021
2059	Nuel 	1	Boy	2021
2059	Nuh	1	Boy	2021
2059	Nuhkoda 	1	Boy	2021
2059	Nyal 	1	Boy	2021
2059	Nyall 	1	Boy	2021
2059	Nyiguo 	1	Boy	2021
2059	Nyjah 	1	Boy	2021
2059	Nylan 	1	Boy	2021
2059	Nyle	1	Boy	2021
2059	Nyles 	1	Boy	2021
2059	Nymer	1	Boy	2021
2059	O'Shea 	1	Boy	2021
2059	Oak 	1	Boy	2021
2059	Oaken 	1	Boy	2021
2059	Oakes 	1	Boy	2021
2059	Oaklyn 	1	Boy	2021
2059	Oaks 	1	Boy	2021
2059	Oasez 	1	Boy	2021
2059	Obaida	1	Boy	2021
2059	Obataolekitan 	1	Boy	2021
2059	Obedy	1	Boy	2021
2059	Obsa 	1	Boy	2021
2059	Ochre 	1	Boy	2021
2059	Oday	1	Boy	2021
2059	Odeh 	1	Boy	2021
2059	Oden 	1	Boy	2021
2059	Odeobi 	1	Boy	2021
2059	Odin-Khriz 	1	Boy	2021
2059	Odysseus 	1	Boy	2021
2059	Oen 	1	Boy	2021
2059	Ofek	1	Boy	2021
2059	Oghenefejiro 	1	Boy	2021
2059	Oghenekevwe 	1	Boy	2021
2059	Ohioze 	1	Boy	2021
2059	Ohîyêtha 	1	Boy	2021
2059	Oísín 	1	Boy	2021
2059	Okan 	1	Boy	2021
2059	Okatakyie 	1	Boy	2021
2059	Okeymow 	1	Boy	2021
2059	Olaf	1	Boy	2021
2059	Olaoluwatide 	1	Boy	2021
2059	Oleksa 	1	Boy	2021
2059	Olesko 	1	Boy	2021
2059	Oli 	1	Boy	2021
2059	Oliver-James 	1	Boy	2021
2059	Oliver-Quinn 	1	Boy	2021
2059	Oliwer 	1	Boy	2021
2059	Olliver 	1	Boy	2021
2059	Olly 	1	Boy	2021
2059	Olsyn 	1	Boy	2021
2059	Oludunsin 	1	Boy	2021
2059	Olumide 	1	Boy	2021
2059	Oluwadarimi 	1	Boy	2021
2059	Oluwadunsimi 	1	Boy	2021
2059	Oluwadunsin 	1	Boy	2021
2059	Oluwafayokunmi 	1	Boy	2021
2059	Oluwafemitan 	1	Boy	2021
2059	Oluwakamiye 	1	Boy	2021
2059	Oluwalonimi 	1	Boy	2021
2059	Oluwatamilore 	1	Boy	2021
2059	Oluwatimileyin 	1	Boy	2021
2059	Oluwatobiloba 	1	Boy	2021
2059	Oluwatomide 	1	Boy	2021
2059	Oluwatooni 	1	Boy	2021
2059	Olys	1	Boy	2021
2059	Omav	1	Boy	2021
2059	Ömer 	1	Boy	2021
2059	Omotesho 	1	Boy	2021
2059	Omovigho 	1	Boy	2021
2059	Omri 	1	Boy	2021
2059	Omwoyo 	1	Boy	2021
2059	Onikanew 	1	Boy	2021
2059	Onkar 	1	Boy	2021
2059	Onnik 	1	Boy	2021
2059	Onosedeba 	1	Boy	2021
2059	Onyinyechukwu 	1	Boy	2021
2059	Oran 	1	Boy	2021
2059	Orca 	1	Boy	2021
2059	Orealius 	1	Boy	2021
2059	Oren 	1	Boy	2021
2059	Oreofeoluwa 	1	Boy	2021
2059	Orest	1	Boy	2021
2059	Orezimena 	1	Boy	2021
2059	Orley 	1	Boy	2021
2059	Orly 	1	Boy	2021
2059	Oromo	1	Boy	2021
2059	Orti 	1	Boy	2021
2059	Osagie 	1	Boy	2021
2059	Osaivbie 	1	Boy	2021
2059	Osama	1	Boy	2021
2059	Osasenaga 	1	Boy	2021
2059	Osavbie 	1	Boy	2021
2059	Osayuware 	1	Boy	2021
2059	Osborne 	1	Boy	2021
2059	Oséas 	1	Boy	2021
2059	Osetale 	1	Boy	2021
2059	Oshyn 	1	Boy	2021
2059	Osias 	1	Boy	2021
2059	Osiris 	1	Boy	2021
2059	Oslind 	1	Boy	2021
2059	Osmend 	1	Boy	2021
2059	Osric 	1	Boy	2021
2059	Oswin 	1	Boy	2021
2059	Othniel 	1	Boy	2021
2059	Othniel-Walker	1	Boy	2021
2059	Otoabasi 	1	Boy	2021
2059	Oubay 	1	Boy	2021
2059	Oumaro	1	Boy	2021
2059	Ousman	1	Boy	2021
2059	Ousmane	1	Boy	2021
2059	Owyn 	1	Boy	2021
2059	Oziah 	1	Boy	2021
2059	Ozjan 	1	Boy	2021
2059	Ozmyn 	1	Boy	2021
2059	Ozziah 	1	Boy	2021
2059	Ozzie 	1	Boy	2021
2059	Ozzy 	1	Boy	2021
2059	P'Saw	1	Boy	2021
2059	Paari	1	Boy	2021
2059	Paarth	1	Boy	2021
2059	Paarthav	1	Boy	2021
2059	Paddy 	1	Boy	2021
2059	Pádraig 	1	Boy	2021
2059	Pal 	1	Boy	2021
2059	Palvir 	1	Boy	2021
2059	Pamir 	1	Boy	2021
2059	Panav	1	Boy	2021
2059	Panjab	1	Boy	2021
2059	Pantelis 	1	Boy	2021
2059	Panthveer 	1	Boy	2021
2059	Paolo	1	Boy	2021
2059	Pape 	1	Boy	2021
2059	Param 	1	Boy	2021
2059	Paras 	1	Boy	2021
2059	Parnik 	1	Boy	2021
2059	Parsa	1	Boy	2021
2059	Partap 	1	Boy	2021
2059	Partapveer	1	Boy	2021
2059	Parth	1	Boy	2021
2059	Parv	1	Boy	2021
2059	Parvaan 	1	Boy	2021
2059	Parvardh	1	Boy	2021
2059	Parwaan 	1	Boy	2021
2059	Parwaj 	1	Boy	2021
2059	Pasha 	1	Boy	2021
2059	Paterno 	1	Boy	2021
2059	Patrik	1	Boy	2021
2059	Patton 	1	Boy	2021
2059	Páudie 	1	Boy	2021
2059	Paulino 	1	Boy	2021
2059	Pavel 	1	Boy	2021
2059	Pavit	1	Boy	2021
2059	Pavle	1	Boy	2021
2059	Payce 	1	Boy	2021
2059	Payden 	1	Boy	2021
2059	Peanut	1	Boy	2021
2059	Pearce	1	Boy	2021
2059	Pearse 	1	Boy	2021
2059	Peder 	1	Boy	2021
2059	Peiru	1	Boy	2021
2059	Pere 	1	Boy	2021
2059	Peretimi 	1	Boy	2021
2059	Pernell 	1	Boy	2021
2059	Perrin 	1	Boy	2021
2059	Pete 	1	Boy	2021
2059	Peterson 	1	Boy	2021
2059	Phavid	1	Boy	2021
2059	Pheonix 	1	Boy	2021
2059	Pheonixx 	1	Boy	2021
2059	Phil 	1	Boy	2021
2059	Philip-Eder	1	Boy	2021
2059	Phoenix-Rayne 	1	Boy	2021
2059	Phu 	1	Boy	2021
2059	Phurious 	1	Boy	2021
2059	Pierre-Luc	1	Boy	2021
2059	Pierrot 	1	Boy	2021
2059	Pierson 	1	Boy	2021
2059	Piyesiwak 	1	Boy	2021
2059	Pol	1	Boy	2021
2059	Pope 	1	Boy	2021
2059	Prabhas	1	Boy	2021
2059	Prabhdeep	1	Boy	2021
2059	Prabhyug 	1	Boy	2021
2059	Praedyth 	1	Boy	2021
2059	Pragit	1	Boy	2021
2059	Praise	1	Boy	2021
2059	Pranavesh	1	Boy	2021
2059	Praneel	1	Boy	2021
2059	Pranesh	1	Boy	2021
2059	Pranuj	1	Boy	2021
2059	Prash	1	Boy	2021
2059	Prasidda	1	Boy	2021
2059	Prasit	1	Boy	2021
2059	Pratham 	1	Boy	2021
2059	Prayag	1	Boy	2021
2059	Prayan 	1	Boy	2021
2059	Preacher 	1	Boy	2021
2059	Precious 	1	Boy	2021
2059	Prehaan 	1	Boy	2021
2059	Presten 	1	Boy	2021
2059	Priaan 	1	Boy	2021
2059	Price 	1	Boy	2021
2059	Prinz 	1	Boy	2021
2059	Prithamveer 	1	Boy	2021
2059	Prithiv	1	Boy	2021
2059	Promise 	1	Boy	2021
2059	Pruthvi 	1	Boy	2021
2059	Pryce 	1	Boy	2021
2059	Pukhraj 	1	Boy	2021
2059	Puvilan	1	Boy	2021
2059	Qaasim 	1	Boy	2021
2059	Qamber	1	Boy	2021
2059	Qasim 	1	Boy	2021
2059	Qays	1	Boy	2021
2059	Qazi 	1	Boy	2021
2059	Quartland 	1	Boy	2021
2059	Qudus 	1	Boy	2021
2059	Quentyn 	1	Boy	2021
2059	Quewin 	1	Boy	2021
2059	Quill 	1	Boy	2021
2059	Quince 	1	Boy	2021
2059	Quinly 	1	Boy	2021
2059	Quinte	1	Boy	2021
2059	Quintin 	1	Boy	2021
2059	Qynnlan 	1	Boy	2021
2059	Ra 	1	Boy	2021
2059	Ra'Id	1	Boy	2021
2059	Raahil	1	Boy	2021
2059	Raam	1	Boy	2021
2059	Raayan	1	Boy	2021
2059	Rabnoor 	1	Boy	2021
2059	Raddix 	1	Boy	2021
2059	Radek 	1	Boy	2021
2059	Radlee 	1	Boy	2021
2059	Radomir 	1	Boy	2021
2059	Radyn 	1	Boy	2021
